2025.10.16 21:26:13 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2025.10.16 21:26:17 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.13/bloop-frontend_2.12-2.0.13.pom.sha1
2025.10.16 21:26:18 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-frontend_2.12/2.0.13/bloop-frontend_2.12-2.0.13.pom.sha1
2025.10.16 21:26:18 INFO  BSP server: Downloading https://repo.scala-lang.org/artifactory/maven-nightlies/ch/epfl/scala/bloop-frontend_2.12/2.0.13/bloop-frontend_2.12-2.0.13.pom
2025.10.16 21:26:18 INFO  BSP server: Downloaded https://repo.scala-lang.org/artifactory/maven-nightlies/ch/epfl/scala/bloop-frontend_2.12/2.0.13/bloop-frontend_2.12-2.0.13.pom
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/scala-debug-adapter_2.12/4.2.8/scala-debug-adapter_2.12-4.2.8.pom
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/qos/logback/logback-classic/1.5.18/logback-classic-1.5.18.pom
2025.10.16 21:26:18 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-config_2.12/2.3.2/bloop-config_2.12-2.3.2.pom
2025.10.16 21:26:18 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-config_2.12/2.3.2/bloop-config_2.12-2.3.2.pom
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/libdaemon_2.12/0.0.12/libdaemon_2.12-0.0.12.pom
2025.10.16 21:26:18 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom.sha1
2025.10.16 21:26:18 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-config_2.12/2.3.2/bloop-config_2.12-2.3.2.pom.sha1
2025.10.16 21:26:18 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/scala-debug-adapter_2.12/4.2.8/scala-debug-adapter_2.12-4.2.8.pom
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom.sha1
2025.10.16 21:26:18 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/qos/logback/logback-classic/1.5.18/logback-classic-1.5.18.pom
2025.10.16 21:26:18 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.13/bloop-shared_2.12-2.0.13.pom
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom.sha1
2025.10.16 21:26:18 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/libdaemon_2.12/0.0.12/libdaemon_2.12-0.0.12.pom
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-backend_2.12/2.0.13/bloop-backend_2.12-2.0.13.pom
2025.10.16 21:26:18 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom.sha1
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/scala-debug-adapter_2.12/4.2.8/scala-debug-adapter_2.12-4.2.8.pom.sha1
2025.10.16 21:26:18 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.13/bloop-shared_2.12-2.0.13.pom
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/qos/logback/logback-classic/1.5.18/logback-classic-1.5.18.pom.sha1
2025.10.16 21:26:18 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom.sha1
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom.sha1
2025.10.16 21:26:18 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-config_2.12/2.3.2/bloop-config_2.12-2.3.2.pom.sha1
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/libdaemon_2.12/0.0.12/libdaemon_2.12-0.0.12.pom.sha1
2025.10.16 21:26:18 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom.sha1
2025.10.16 21:26:18 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.13/bloop-shared_2.12-2.0.13.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/scala-debug-adapter_2.12/4.2.8/scala-debug-adapter_2.12-4.2.8.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.13/bloop-shared_2.12-2.0.13.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-config_2.12/2.3.2/bloop-config_2.12-2.3.2.pom
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/libdaemon_2.12/0.0.12/libdaemon_2.12-0.0.12.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/qos/logback/logback-classic/1.5.18/logback-classic-1.5.18.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/scala-debug-adapter_2.12/4.2.8/scala-debug-adapter_2.12-4.2.8.pom
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-backend_2.12/2.0.13/bloop-backend_2.12-2.0.13.pom
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.13/bloop-shared_2.12-2.0.13.pom
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2025.10.16 21:26:19 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-backend_2.12/2.0.13/bloop-backend_2.12-2.0.13.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.13/bloop-shared_2.12-2.0.13.pom
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-backend_2.12/2.0.13/bloop-backend_2.12-2.0.13.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/libdaemon_2.12/0.0.12/libdaemon_2.12-0.0.12.pom
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/qos/logback/logback-classic/1.5.18/logback-classic-1.5.18.pom
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/scala-debug-adapter_2.12/4.2.8/scala-debug-adapter_2.12-4.2.8.pom
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.13/bloop-shared_2.12-2.0.13.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-config_2.12/2.3.2/bloop-config_2.12-2.3.2.pom
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/libdaemon_2.12/0.0.12/libdaemon_2.12-0.0.12.pom
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/scala-debug-adapter_2.12/4.2.8/scala-debug-adapter_2.12-4.2.8.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/qos/logback/logback-classic/1.5.18/logback-classic-1.5.18.pom
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-config_2.12/2.3.2/bloop-config_2.12-2.3.2.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.13/bloop-shared_2.12-2.0.13.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/libdaemon_2.12/0.0.12/libdaemon_2.12-0.0.12.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-backend_2.12/2.0.13/bloop-backend_2.12-2.0.13.pom
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-config_2.12/2.3.2/bloop-config_2.12-2.3.2.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/qos/logback/logback-classic/1.5.18/logback-classic-1.5.18.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.13/bloop-shared_2.12-2.0.13.pom
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/libdaemon_2.12/0.0.12/libdaemon_2.12-0.0.12.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-backend_2.12/2.0.13/bloop-backend_2.12-2.0.13.pom
2025.10.16 21:26:19 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/scala-debug-adapter_2.12/4.2.8/scala-debug-adapter_2.12-4.2.8.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-config_2.12/2.3.2/bloop-config_2.12-2.3.2.pom
2025.10.16 21:26:19 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/qos/logback/logback-classic/1.5.18/logback-classic-1.5.18.pom.sha1
2025.10.16 21:26:19 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2025.10.16 21:26:21 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
2025.10.16 21:26:21 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-backend_2.12/2.0.13/bloop-backend_2.12-2.0.13.pom.sha1
2025.10.16 21:26:21 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom
2025.10.16 21:26:21 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom.sha1
2025.10.16 21:26:21 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-config_2.12/2.3.2/bloop-config_2.12-2.3.2.pom
2025.10.16 21:26:21 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom.sha1
2025.10.16 21:26:21 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2025.10.16 21:26:21 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/libdaemon_2.12/0.0.12/libdaemon_2.12-0.0.12.pom
2025.10.16 21:26:21 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/bloop-backend_2.12/2.0.13/bloop-backend_2.12-2.0.13.pom.sha1
2025.10.16 21:26:21 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/scala-debug-adapter_2.12/4.2.8/scala-debug-adapter_2.12-4.2.8.pom
2025.10.16 21:26:21 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom.sha1
2025.10.16 21:26:21 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-config_2.12/2.3.2/bloop-config_2.12-2.3.2.pom.sha1
2025.10.16 21:26:21 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom.sha1
2025.10.16 21:26:21 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/qos/logback/logback-classic/1.5.18/logback-classic-1.5.18.pom
2025.10.16 21:26:21 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom.sha1
2025.10.16 21:26:21 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom.sha1
2025.10.16 21:26:21 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/libdaemon_2.12/0.0.12/libdaemon_2.12-0.0.12.pom
2025.10.16 21:26:21 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/libdaemon_2.12/0.0.12/libdaemon_2.12-0.0.12.pom.sha1
2025.10.16 21:26:21 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/scala-debug-adapter_2.12/4.2.8/scala-debug-adapter_2.12-4.2.8.pom
2025.10.16 21:26:21 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-backend_2.12/2.0.13/bloop-backend_2.12-2.0.13.pom
2025.10.16 21:26:21 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-config_2.12/2.3.2/bloop-config_2.12-2.3.2.pom.sha1
2025.10.16 21:26:21 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom
2025.10.16 21:26:22 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.13/bloop-shared_2.12-2.0.13.pom
2025.10.16 21:26:22 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/scala-debug-adapter_2.12/4.2.8/scala-debug-adapter_2.12-4.2.8.pom.sha1
2025.10.16 21:26:22 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/ch/qos/logback/logback-classic/1.5.18/logback-classic-1.5.18.pom
2025.10.16 21:26:22 INFO  BSP server: Downloading https://repo.scala-lang.org/artifactory/maven-nightlies/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
2025.10.16 21:26:22 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom.sha1
2025.10.16 21:26:22 INFO  BSP server: Downloading https://repo.scala-lang.org/artifactory/maven-nightlies/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom
2025.10.16 21:26:22 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/libdaemon_2.12/0.0.12/libdaemon_2.12-0.0.12.pom.sha1
2025.10.16 21:26:22 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.13/bloop-shared_2.12-2.0.13.pom.sha1
2025.10.16 21:26:22 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-backend_2.12/2.0.13/bloop-backend_2.12-2.0.13.pom
2025.10.16 21:26:22 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/qos/logback/logback-classic/1.5.18/logback-classic-1.5.18.pom.sha1
2025.10.16 21:26:22 INFO  BSP server: Downloaded https://repo.scala-lang.org/artifactory/maven-nightlies/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom
2025.10.16 21:26:22 INFO  BSP server: Downloading https://repo.scala-lang.org/artifactory/maven-nightlies/ch/epfl/scala/bloop-config_2.12/2.3.2/bloop-config_2.12-2.3.2.pom
2025.10.16 21:26:22 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom
2025.10.16 21:26:22 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-backend_2.12/2.0.13/bloop-backend_2.12-2.0.13.pom.sha1
2025.10.16 21:26:22 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/scala-debug-adapter_2.12/4.2.8/scala-debug-adapter_2.12-4.2.8.pom.sha1
2025.10.16 21:26:22 INFO  BSP server: Downloading https://repo.scala-lang.org/artifactory/maven-nightlies/com/github/alexarchambault/case-app_2.12/2.0.6/case-app_2.12-2.0.6.pom
2025.10.16 21:26:22 INFO  BSP server: Downloaded https://repo.scala-lang.org/artifactory/maven-nightlies/ch/epfl/scala/bloop-config_2.12/2.3.2/bloop-config_2.12-2.3.2.pom
2025.10.16 21:26:22 INFO  BSP server: Downloading https://repo.scala-lang.org/artifactory/maven-nightlies/org/scalaz/scalaz-core_2.12/7.3.8/scalaz-core_2.12-7.3.8.pom.sha1
2025.10.16 21:26:22 INFO  BSP server: Downloaded https://repo.scala-lang.org/artifactory/maven-nightlies/org/scala-lang/scala-library/2.12.20/scala-library-2.12.20.pom
2025.10.16 21:26:22 INFO  BSP server: Downloading https://repo.scala-lang.org/artifactory/maven-nightlies/ch/epfl/scala/libdaemon_2.12/0.0.12/libdaemon_2.12-0.0.12.pom
2025.10.16 21:26:22 INFO  BSP server: Downloaded https://central.sonatype.com/repository/maven-snapshots/ch/epfl/scala/bloop-shared_2.12/2.0.13/bloop-shared_2.12-2.0.13.pom.sha1
2025.10.16 21:26:22 INFO  BSP server: Downloading https://central.sonatype.com/repository/maven-snapshots/io/monix/monix_2.12/3.2.0/monix_2.12-3.2.0.pom.sha1
